Date,Time,Building Name,Category,Count
14/05/2026,12:34 PM,v mettur,Painter,1.0
29/05/2026,01:44 PM,sample building,Mason,1.0
29/05/2026,01:44 PM,sample building,Carpenter,1.0
29/05/2026,01:44 PM,sample building,Men Worker,3.0
29/05/2026,01:44 PM,sample building,Painter,3.5
29/05/2026,01:45 PM,v mettur,Mason,1.0
29/05/2026,01:45 PM,v mettur,Carpenter,2.5
29/05/2026,01:45 PM,v mettur,Women Worker,2.0
30/05/2026,12:32 PM,kmkdm,Mason,4.0
30/05/2026,12:33 PM,kmkdm,Mason,1.0
30/05/2026,05:17 PM,kmkdm,Mason,1.0
